,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
Leicester_5387,48,4,3,4,7,5,0,13,1,5
HullCity_5387,62,0,5,3,5,4,0,12,0,3
AstonVilla_5387,31,0,1,1,5,0,0,9,0,3
ManchesterUnited_5388,52,3,5,2,6,6,0,6,1,9
Tottenham_5388,49,4,2,1,5,6,3,22,2,4
Chelsea_5388,49,2,0,0,6,1,2,12,0,8
WestHam_5388,49,1,3,2,6,4,3,21,1,1
ManchesterCity_5401,60,7,3,0,6,2,2,9,3,7
Southampton_5401,46,3,3,0,5,4,2,5,1,5
NewcastleUtd_5401,59,1,3,3,8,3,0,8,1,9
Everton_5401,65,3,2,4,9,3,2,13,1,5
CrystalPalace_5401,28,2,2,0,5,2,1,10,1,6
Burnley_5401,48,1,5,2,5,1,1,17,0,0
Arsenal_5401,69,5,3,6,8,3,0,8,1,4
QPR_5402,47,1,5,1,9,1,1,18,1,6
StokeCity_5402,40,2,5,4,1,0,0,12,2,10
WestBrom_5403,40,1,3,1,4,0,0,6,3,2
WestHam_5408,33,2,3,1,9,3,1,6,1,10
WestBrom_5408,70,1,3,1,3,4,1,10,2,8
Sunderland_5408,37,0,1,2,5,3,0,11,1,3
Southampton_5408,66,2,7,4,6,4,0,16,1,4
Liverpool_5408,60,2,2,2,8,4,1,17,1,4
Swansea_5408,58,2,2,0,4,1,0,15,0,3
Tottenham_5409,69,1,5,3,7,4,1,17,0,5
Burnley_5409,38,1,4,4,3,4,2,13,0,4
ManchesterUnited_5409,51,3,5,1,7,0,0,12,1,6
QPR_5410,39,1,2,1,7,2,0,17,4,5
NewcastleUtd_5415,35,1,3,4,9,6,0,17,0,5
StokeCity_5415,59,2,7,4,4,4,0,13,0,5
Leicester_5415,54,2,2,2,9,5,1,18,2,2
HullCity_5415,44,1,1,1,5,3,1,12,1,4
Everton_5415,71,3,4,4,7,8,0,7,0,3
Chelsea_5415,63,3,3,2,1,10,1,13,0,4
Arsenal_5415,71,4,4,5,6,7,2,10,0,4
ManchesterCity_5416,47,4,2,0,10,2,1,13,0,8
AstonVilla_5416,42,1,7,1,4,2,0,6,2,3
CrystalPalace_5417,47,0,2,0,10,3,0,17,3,6
Liverpool_5422,56,3,0,3,8,3,3,11,3,4
WestHam_5422,60,2,4,4,5,8,4,14,3,3
Southampton_5422,63,1,3,3,5,5,4,15,0,6
ManchesterUnited_5422,73,2,2,4,6,5,0,4,0,5
Burnley_5422,60,1,2,6,7,5,1,16,0,6
QPR_5422,39,3,0,4,6,3,2,11,1,5
WestBrom_5423,53,2,2,2,3,3,1,13,0,7
Tottenham_5423,58,2,3,2,10,3,1,12,0,9
Sunderland_5423,43,1,3,2,4,4,0,5,3,3
Swansea_5423,51,2,2,1,7,5,2,7,1,3
StokeCity_5436,68,3,2,0,7,5,0,18,1,8
NewcastleUtd_5436,55,3,1,2,11,7,1,7,2,4
ManchesterCity_5436,61,5,2,0,4,3,0,13,0,3
Leicester_5436,40,1,3,1,6,3,0,6,2,8
Everton_5436,63,2,2,2,5,0,3,8,1,5
Chelsea_5436,72,7,3,0,5,7,2,9,1,2
Arsenal_5436,54,5,5,1,4,4,0,10,0,7
CrystalPalace_5437,37,3,3,0,5,3,1,14,0,10
HullCity_5437,36,2,3,5,5,3,3,9,3,8
AstonVilla_5438,35,1,1,3,8,2,0,7,2,8
WestBrom_5443,50,0,0,0,3,1,2,13,4,3
WestHam_5443,48,1,1,1,8,0,1,17,0,1
Swansea_5443,65,2,6,2,7,3,0,6,2,3
QPR_5443,65,2,8,8,11,4,1,9,1,4
ManchesterUnited_5443,76,3,2,3,6,5,2,8,0,7
Liverpool_5443,47,0,3,0,5,2,0,12,0,8
Burnley_5443,49,2,1,2,6,0,1,13,3,3
Sunderland_5443,33,1,2,1,5,1,0,13,2,5
Southampton_5444,45,2,1,1,6,4,2,13,2,7
Tottenham_5444,42,5,1,1,4,1,1,11,2,6
Swansea_5446,52,3,4,3,6,4,4,14,1,4
ManchesterUnited_5446,63,2,2,1,2,1,0,12,0,2
Leicester_5446,46,2,6,0,8,3,0,18,0,4
Burnley_5446,50,2,3,1,7,1,1,20,2,7
WestBrom_5446,46,2,3,4,6,3,0,13,4,2
CrystalPalace_5446,32,5,1,4,8,4,1,15,1,8
Sunderland_5447,35,1,0,3,3,1,1,15,0,6
Everton_5447,61,4,3,2,4,4,1,18,0,3
Chelsea_5447,45,5,1,1,7,0,2,23,1,3
Arsenal_5447,54,2,3,1,9,5,0,11,1,2
NewcastleUtd_5450,42,1,3,1,6,0,0,15,2,4
Tottenham_5450,67,2,5,1,5,1,1,8,2,5
StokeCity_5450,47,4,4,2,7,2,2,6,1,10
QPR_5450,58,2,0,2,6,1,1,13,2,6
Liverpool_5450,47,0,2,0,7,3,0,10,0,5
HullCity_5450,41,0,1,1,8,2,0,17,1,7
ManchesterCity_5450,52,1,3,2,5,6,2,10,0,4
WestHam_5451,59,3,2,4,9,4,1,12,1,3
AstonVilla_5451,72,1,2,3,8,1,3,13,2,5
Southampton_5452,53,2,4,1,3,2,3,15,0,6
WestBrom_5457,41,2,3,0,5,1,0,12,0,8
Sunderland_5457,57,1,1,2,9,1,1,12,5,6
Leicester_5457,34,1,2,1,8,4,2,15,2,9
CrystalPalace_5457,42,2,2,2,2,5,1,15,1,2
Chelsea_5457,62,1,1,1,6,2,0,14,0,6
Burnley_5457,44,0,3,2,9,1,1,20,2,9
Arsenal_5457,57,1,3,2,7,8,3,12,2,6
ManchesterUnited_5458,55,2,1,0,5,1,0,13,4,9
Swansea_5458,53,1,2,2,10,2,2,18,0,2
Everton_5459,60,3,2,2,8,1,1,7,1,4
ManchesterCity_5464,69,0,7,1,3,3,1,6,1,9
WestHam_5464,54,1,4,3,7,6,1,21,2,2
Tottenham_5464,68,3,8,2,10,2,1,13,0,3
Southampton_5464,44,1,3,1,5,2,2,5,1,8
QPR_5464,47,3,1,1,4,1,2,8,3,11
HullCity_5464,55,1,3,0,12,2,3,12,0,4
AstonVilla_5464,36,1,0,1,4,0,0,5,2,3
NewcastleUtd_5465,46,2,4,1,9,2,0,10,2,10
Liverpool_5465,64,3,4,2,9,3,0,17,0,3
StokeCity_5466,41,1,0,2,2,3,1,14,0,4
Chelsea_5470,73,5,5,3,8,5,0,19,0,3
WestBrom_5470,41,2,2,1,7,5,3,10,2,5
Swansea_5470,44,1,2,1,6,2,1,5,0,7
Sunderland_5470,44,3,3,2,3,6,0,10,0,5
ManchesterUnited_5470,69,3,3,0,4,1,2,11,2,6
Leicester_5470,44,3,5,2,9,3,0,10,1,4
Everton_5470,61,2,2,6,10,5,1,8,1,6
CrystalPalace_5470,44,2,3,3,8,5,1,14,2,5
Burnley_5470,53,0,8,2,4,2,0,19,2,2
Arsenal_5470,69,3,3,3,8,5,2,15,0,3
Tottenham_5472,45,1,1,2,12,0,1,11,5,5
Southampton_5472,43,1,5,1,10,2,0,6,0,10
WestHam_5472,55,1,4,1,9,4,1,9,0,8
StokeCity_5472,58,1,2,2,10,3,2,9,3,4
QPR_5472,52,1,0,4,7,1,0,16,1,6
ManchesterCity_5472,62,3,3,4,8,7,1,13,1,9
HullCity_5472,62,2,2,1,6,3,2,10,1,3
AstonVilla_5472,58,1,3,1,4,0,0,9,1,2
NewcastleUtd_5472,58,1,2,1,5,6,1,13,0,5
Liverpool_5473,47,6,2,1,2,4,1,17,1,3
StokeCity_5476,36,1,2,1,7,5,1,8,0,4
WestHam_5476,44,3,1,0,5,0,4,16,1,4
Southampton_5476,40,3,2,1,4,2,0,9,4,7
QPR_5476,45,2,4,5,3,2,1,11,2,9
NewcastleUtd_5476,58,3,2,3,5,5,0,16,0,3
ManchesterCity_5476,68,2,7,6,3,4,1,5,1,9
Liverpool_5476,63,2,5,1,8,2,1,12,0,3
HullCity_5476,41,5,3,2,6,3,1,4,1,12
AstonVilla_5476,74,2,3,2,7,0,0,11,0,4
Tottenham_5476,47,5,1,0,4,3,1,10,0,4
Sunderland_5485,48,1,0,0,7,2,0,12,1,3
WestBrom_5485,48,2,2,0,5,2,1,14,2,3
Swansea_5485,59,2,2,6,5,2,2,13,0,5
Leicester_5485,41,1,4,1,6,3,0,16,0,7
Everton_5485,37,1,2,2,5,2,1,10,0,4
Chelsea_5485,64,2,1,0,5,4,2,6,4,6
Burnley_5485,49,3,0,0,5,3,1,13,1,5
CrystalPalace_5485,39,1,6,0,5,1,2,6,1,6
Arsenal_5486,55,5,3,0,8,6,2,7,1,5
ManchesterUnited_5486,57,0,3,1,5,2,2,15,0,3
Tottenham_5492,64,5,2,1,6,4,0,10,0,9
Swansea_5492,47,0,3,2,7,0,0,7,2,6
QPR_5492,34,2,5,0,2,1,0,14,3,6
Leicester_5492,41,2,2,3,6,4,0,12,1,2
Burnley_5492,48,2,1,2,9,3,0,6,1,4
AstonVilla_5492,48,2,2,0,7,3,0,13,2,7
NewcastleUtd_5492,50,3,3,0,3,2,1,18,0,5
WestHam_5493,50,2,4,2,8,2,0,22,1,4
ManchesterCity_5493,65,0,1,1,3,4,2,17,0,4
Everton_5494,70,3,3,3,8,2,2,9,0,4
HullCity_5506,52,2,1,0,6,0,2,10,1,12
WestBrom_5506,35,3,3,2,7,3,2,13,0,3
Sunderland_5506,51,2,0,1,7,1,2,17,1,8
StokeCity_5506,57,2,7,1,6,3,3,12,0,4
ManchesterUnited_5506,72,3,2,1,8,2,2,10,0,4
Liverpool_5506,67,3,4,4,6,5,1,12,1,6
CrystalPalace_5506,51,2,4,4,5,4,0,9,0,3
Chelsea_5506,48,2,1,0,9,1,1,16,2,5
Arsenal_5507,47,2,2,1,3,5,3,9,1,4
Southampton_5507,68,1,3,0,7,5,0,12,0,3
Tottenham_5513,63,3,6,0,6,7,2,12,0,5
Swansea_5513,56,3,4,1,9,2,1,10,0,7
QPR_5513,47,1,3,2,8,1,0,14,3,6
ManchesterCity_5513,69,1,2,0,5,1,0,15,2,6
Leicester_5513,59,3,4,3,5,6,0,13,0,8
AstonVilla_5513,51,0,1,1,5,4,1,7,2,6
Everton_5513,43,0,2,3,3,1,2,20,3,8
Burnley_5514,55,3,2,1,6,0,2,14,1,6
NewcastleUtd_5514,40,2,2,1,9,3,0,12,1,7
WestHam_5514,48,3,3,0,9,5,2,10,2,3
Sunderland_5516,46,1,3,3,9,1,1,13,1,5
HullCity_5516,38,2,2,0,5,1,1,8,1,10
Arsenal_5516,52,6,2,4,7,2,1,9,0,4
Liverpool_5516,49,4,4,3,9,2,0,5,1,6
StokeCity_5517,47,5,2,2,7,2,3,16,1,2
Southampton_5517,61,2,5,2,8,1,0,12,1,7
ManchesterUnited_5517,56,3,0,0,3,3,1,10,1,7
Chelsea_5517,49,2,6,3,5,4,1,9,2,5
WestBrom_5517,36,1,2,3,8,3,0,11,1,5
CrystalPalace_5517,54,1,2,0,7,1,2,19,0,3
Swansea_5527,41,3,2,1,8,3,2,13,1,1
Sunderland_5527,61,1,5,1,6,5,1,12,1,7
HullCity_5527,45,3,4,2,11,1,3,14,1,8
CrystalPalace_5527,47,0,3,3,11,2,1,13,1,8
Chelsea_5527,63,3,2,1,7,5,2,8,2,4
AstonVilla_5527,52,1,0,0,11,5,1,16,2,5
ManchesterCity_5527,60,4,3,0,4,1,1,11,0,6
Tottenham_5528,64,2,6,1,10,2,0,14,1,1
Everton_5528,54,1,4,1,4,0,1,14,1,2
Southampton_5528,59,3,2,1,6,4,0,15,0,6
WestHam_5534,61,0,4,1,14,4,0,10,2,6
WestBrom_5534,39,3,0,0,9,2,0,7,0,5
StokeCity_5534,53,1,2,0,2,5,0,17,0,4
NewcastleUtd_5534,54,1,1,2,8,3,0,14,2,3
ManchesterUnited_5534,71,2,5,0,8,5,0,17,3,1
Burnley_5534,44,2,2,0,4,4,0,12,1,8
Liverpool_5535,43,4,3,0,9,2,2,9,0,4
Arsenal_5535,45,2,2,1,1,4,2,10,0,6
Southampton_5537,68,1,6,2,6,5,0,17,0,4
HullCity_5537,44,2,3,1,8,3,2,13,0,4
AstonVilla_5537,55,4,3,0,7,0,2,11,0,6
WestHam_5538,39,2,2,0,4,2,4,11,0,5
Tottenham_5538,60,4,1,6,7,4,1,13,0,8
StokeCity_5538,45,2,1,2,8,2,0,14,3,3
QPR_5538,42,2,2,2,5,1,2,13,3,5
NewcastleUtd_5538,31,0,2,1,9,2,0,9,1,3
ManchesterCity_5538,72,4,2,4,1,3,1,15,1,6
Liverpool_5538,66,4,5,4,8,4,0,13,1,5
QPR_5541,34,3,4,3,7,0,2,18,2,6
CrystalPalace_5548,51,3,4,1,9,3,2,20,0,9
WestBrom_5548,48,3,3,1,7,3,1,14,0,6
Sunderland_5548,43,0,3,1,5,2,1,9,2,6
Leicester_5548,53,1,1,2,8,3,0,16,2,4
Arsenal_5548,74,6,3,3,5,5,1,9,1,3
Burnley_5548,31,1,3,1,2,2,1,8,2,3
Chelsea_5549,56,1,3,1,7,1,0,14,3,6
ManchesterUnited_5549,57,3,2,2,7,2,3,12,0,8
Everton_5549,51,3,2,1,4,3,0,11,3,2
Swansea_5550,58,2,2,2,8,3,1,8,2,2
ManchesterCity_5555,80,8,7,11,3,4,2,12,0,0
Tottenham_5555,70,2,2,1,7,1,1,15,2,4
StokeCity_5555,53,1,1,2,5,2,0,11,0,10
Southampton_5555,61,2,4,3,2,7,0,11,3,3
NewcastleUtd_5555,40,0,1,2,4,3,3,14,0,7
AstonVilla_5555,39,1,0,1,9,0,0,13,2,8
WestHam_5555,54,2,2,0,5,5,0,26,2,9
Liverpool_5556,40,0,2,2,9,0,0,16,1,6
QPR_5556,47,0,2,1,8,0,2,18,1,4
HullCity_5556,48,5,7,2,6,3,2,8,0,6
Arsenal_5569,60,5,2,0,5,3,2,12,0,3
WestBrom_5569,55,1,7,1,6,1,2,17,1,3
Swansea_5569,59,3,0,0,6,1,1,6,0,3
ManchesterUnited_5569,74,4,2,4,4,5,0,12,1,8
Leicester_5569,45,2,2,2,1,2,2,11,3,8
Everton_5569,46,1,4,5,9,4,0,17,2,6
Chelsea_5569,62,4,6,2,9,6,1,16,0,3
Burnley_5570,42,3,3,1,6,1,1,19,2,3
Sunderland_5570,63,3,0,4,10,6,1,25,0,5
CrystalPalace_5571,27,2,1,0,5,1,0,12,2,6
AstonVilla_5572,62,5,6,3,8,6,3,15,1,4
Swansea_5576,52,1,1,3,5,2,1,5,4,6
WestHam_5576,32,2,4,2,7,1,0,7,0,10
WestBrom_5576,48,3,1,0,7,2,0,10,0,10
Tottenham_5576,58,3,5,0,4,4,3,10,0,4
Sunderland_5576,53,1,3,2,8,3,0,18,0,9
Southampton_5576,55,2,2,0,3,2,0,10,2,5
Burnley_5576,31,2,0,2,6,0,1,10,2,13
QPR_5577,38,1,3,2,4,3,2,14,0,6
ManchesterUnited_5577,58,2,0,1,10,0,2,12,1,4
Liverpool_5578,57,4,1,1,12,0,2,16,2,3
StokeCity_5583,51,0,5,3,10,1,3,21,1,8
Leicester_5583,45,1,3,2,6,4,0,10,3,4
Everton_5583,61,3,3,3,7,2,0,11,1,6
CrystalPalace_5583,67,3,3,3,10,3,0,14,0,8
Chelsea_5583,30,1,0,2,5,2,1,4,0,3
ManchesterCity_5584,63,2,2,4,4,2,2,9,2,6
NewcastleUtd_5584,35,3,1,1,9,0,1,10,2,5
Southampton_5590,38,2,2,1,7,3,4,10,0,3
WestBrom_5590,22,0,3,0,6,0,1,6,0,5
StokeCity_5590,69,6,4,2,11,6,2,12,0,5
QPR_5590,55,2,3,2,5,0,2,14,1,4
NewcastleUtd_5590,48,2,1,0,7,3,0,14,2,6
CrystalPalace_5590,44,3,0,0,7,0,2,12,2,7
Burnley_5590,49,1,0,3,9,1,1,13,1,8
ManchesterCity_5590,44,2,2,2,10,3,1,13,1,4
Everton_5591,38,4,1,1,7,5,0,5,2,5
Arsenal_5591,63,1,3,3,5,3,0,11,1,6
HullCity_5593,32,4,0,1,6,3,1,14,4,6
Leicester_5594,40,2,4,1,2,1,3,9,0,5
Leicester_5597,41,4,2,0,4,5,2,13,1,6
WestHam_5597,61,3,3,1,4,3,1,12,1,7
Swansea_5597,45,1,1,2,7,1,1,9,1,4
Sunderland_5597,46,4,3,2,6,0,1,6,0,8
Liverpool_5597,64,3,5,3,9,2,1,8,0,4
AstonVilla_5597,55,3,2,2,6,3,0,12,0,5
ManchesterUnited_5597,78,3,2,5,5,4,0,9,2,6
Chelsea_5598,58,6,2,1,10,2,0,11,0,9
Tottenham_5598,59,2,8,3,6,5,2,17,1,3
HullCity_5599,34,0,3,0,8,0,2,6,3,5
Everton_5604,72,1,3,2,7,5,1,7,1,4
StokeCity_5604,45,6,1,3,3,4,3,16,1,5
NewcastleUtd_5604,62,3,4,1,12,2,0,18,0,4
Leicester_5604,29,3,2,1,5,2,0,11,2,7
HullCity_5604,44,0,4,3,5,5,0,14,1,7
AstonVilla_5604,64,4,4,2,9,1,1,13,0,4
CrystalPalace_5604,35,0,1,1,4,2,1,4,1,7
ManchesterCity_5605,65,3,3,2,7,4,0,10,1,7
Chelsea_5605,57,2,0,2,9,4,1,12,1,5
Arsenal_5606,68,0,3,2,5,1,1,7,2,5
Southampton_5611,40,9,0,2,5,1,2,9,1,8
WestHam_5611,42,2,2,3,10,4,1,6,1,9
Tottenham_5611,64,0,2,2,7,2,0,16,0,2
Sunderland_5611,52,2,3,3,4,2,2,12,0,8
QPR_5611,48,1,0,0,5,0,0,14,2,6
Burnley_5611,41,4,0,3,7,3,0,11,1,7
Liverpool_5611,65,2,2,2,6,2,1,9,1,5
Swansea_5612,52,4,2,0,4,4,0,8,0,5
ManchesterUnited_5612,62,2,2,4,6,3,2,8,0,6
WestBrom_5613,42,3,1,1,6,2,1,5,2,3
Arsenal_5615,71,3,7,1,5,2,0,9,0,5
StokeCity_5619,43,7,3,2,2,1,1,12,0,10
NewcastleUtd_5619,39,2,6,1,7,0,0,7,1,6
ManchesterCity_5619,60,4,4,0,8,4,0,13,1,5
Leicester_5619,41,4,5,1,4,0,2,13,0,4
HullCity_5619,33,2,1,1,6,4,4,8,0,6
Everton_5619,39,1,2,1,4,1,1,10,2,2
CrystalPalace_5619,56,2,1,4,6,4,2,17,1,15
Chelsea_5619,64,2,2,3,5,3,0,10,3,4
AstonVilla_5619,62,2,4,2,6,4,1,15,1,7
Arsenal_5619,68,10,1,5,6,4,0,3,1,4
Malaga_5345,44,2,3,2,5,3,2,8,2,5
Sevilla_5345,49,2,1,1,7,1,2,12,0,10
GranadaCF_5345,53,0,2,1,15,1,1,13,0,7
Almeria_5345,54,4,5,4,N,7,3,15,0,1
Eibar_5346,42,3,5,2,10,3,2,15,2,6
CeltaVigo_5346,57,4,2,5,6,3,1,11,2,14
Barcelona_5346,82,1,5,1,4,3,2,13,0,5
Levante_5346,53,0,2,1,9,1,1,10,1,2
RealMadrid_5347,69,5,2,2,9,6,4,16,0,5
RayoVallecano_5347,57,0,2,0,6,1,0,15,2,6
Getafe_5351,61,2,2,3,7,1,0,15,1,5
Valencia_5351,50,3,2,0,7,1,2,13,3,8
Cordoba_5352,35,0,3,0,13,0,1,4,2,6
AthBilbao_5352,59,2,3,0,12,1,2,13,1,6
Atl._5352,47,3,2,2,7,4,1,12,1,7
Espanyol_5352,42,0,0,0,14,2,0,9,1,8
Villarreal_5353,26,0,2,0,10,2,1,5,4,7
RealSociedad_5353,50,2,2,3,8,5,1,12,2,6
Dep._5353,46,3,1,0,10,1,2,14,0,12
Elche_5353,61,2,7,2,8,5,1,12,2,4
Almeria_5365,49,1,3,2,11,2,1,8,2,9
Barcelona_5366,66,3,3,1,8,2,2,12,1,8
Malaga_5366,56,5,3,1,3,12,4,6,0,6
RealMadrid_5366,66,3,8,0,5,3,1,13,0,5
CeltaVigo_5366,59,1,4,2,11,2,1,14,1,5
RayoVallecano_5367,72,2,2,0,12,3,3,12,2,5
Valencia_5367,56,3,0,3,8,2,1,10,0,3
Sevilla_5367,64,2,1,3,9,7,1,10,0,5
GranadaCF_5367,37,0,3,0,8,2,0,14,0,6
Eibar_5368,60,0,2,3,12,1,2,14,0,7
Elche_5372,51,3,3,0,8,2,2,14,3,4
Dep._5373,41,0,3,1,6,2,0,8,4,4
AthBilbao_5373,64,2,0,1,14,0,1,12,1,5
Atl._5373,39,4,5,0,7,3,3,8,0,6
Espanyol_5373,30,2,2,1,8,4,2,14,0,7
RealSociedad_5374,58,3,4,1,6,9,3,13,0,8
Villarreal_5374,41,3,5,0,10,4,2,9,1,4
Cordoba_5374,64,0,4,1,17,4,0,9,2,6
Levante_5374,22,2,2,2,6,2,0,10,1,8
Getafe_5375,52,3,1,0,7,2,1,7,0,13
RealMadrid_5376,71,7,3,1,10,5,0,10,1,9
CeltaVigo_5376,54,1,3,1,9,3,1,11,0,7
RayoVallecano_5377,54,1,4,1,9,1,0,18,0,7
Eibar_5377,39,3,2,1,8,2,0,12,0,7
Almeria_5377,31,1,2,0,10,0,0,7,4,5
Sevilla_5377,54,3,2,2,2,3,0,10,0,5
Malaga_5377,27,1,1,0,6,1,0,11,0,9
GranadaCF_5377,58,0,2,2,8,0,1,19,1,7
Espanyol_5378,46,1,1,0,11,3,0,21,1,9
Valencia_5378,57,4,6,2,9,0,0,10,1,5
Elche_5379,41,1,5,1,6,0,1,13,2,5
Villarreal_5380,48,3,3,5,5,4,2,7,1,4
Barcelona_5380,75,4,3,0,6,8,3,16,1,5
Atl._5380,54,3,1,1,8,3,0,14,0,9
Levante_5380,41,0,1,0,11,2,2,9,3,10
AthBilbao_5380,72,0,4,0,12,2,0,12,2,8
Getafe_5381,44,3,1,1,6,2,1,13,0,7
Dep._5381,63,0,4,2,9,4,2,8,3,5
RealSociedad_5381,55,5,3,0,8,7,5,21,0,5
Cordoba_5381,55,0,4,1,14,1,1,9,1,7
Getafe_5386,57,1,1,1,4,5,1,22,0,6
Valencia_5387,45,3,1,0,7,1,0,8,3,11
RayoVallecano_5387,41,2,0,1,8,3,0,17,1,10
Eibar_5387,60,2,3,1,9,2,0,16,2,4
Malaga_5387,63,0,3,4,11,1,1,17,0,9
Almeria_5387,51,1,5,0,12,4,0,16,1,5
Sevilla_5388,54,3,4,1,5,4,3,10,1,8
CeltaVigo_5388,66,3,4,1,13,3,1,9,0,6
Espanyol_5388,46,2,1,1,9,3,2,13,1,8
RealMadrid_5388,58,4,1,0,5,2,7,14,3,4
GranadaCF_5400,44,0,2,0,5,0,2,11,1,4
Levante_5401,34,1,3,1,5,2,0,6,1,11
AthBilbao_5401,45,3,4,2,8,6,0,12,0,4
Barcelona_5401,81,3,5,1,7,5,0,11,1,5
Cordoba_5401,63,0,0,0,13,2,2,19,1,10
Atl._5402,66,6,5,2,9,8,4,14,1,9
Dep._5402,47,3,4,1,10,3,2,11,0,6
Elche_5402,70,0,3,4,14,5,0,10,1,7
Villarreal_5402,60,5,0,1,9,2,2,10,2,10
RealSociedad_5403,62,0,6,1,8,4,1,13,2,4
CeltaVigo_5407,75,1,6,1,6,5,1,10,0,6
Almeria_5408,42,1,2,0,9,1,3,17,0,3
RealMadrid_5408,39,3,4,3,7,2,0,9,3,5
Valencia_5408,55,3,2,0,7,6,0,10,2,7
Eibar_5408,55,1,1,0,6,3,2,15,2,10
Cordoba_5408,57,0,0,2,8,3,3,17,0,3
Malaga_5409,44,5,2,2,8,3,4,8,2,10
Espanyol_5409,59,1,5,0,8,3,0,16,1,5
Sevilla_5409,54,1,1,2,5,2,1,13,3,8
Getafe_5409,35,0,1,0,4,0,0,12,6,6
Dep._5414,55,0,2,0,13,2,1,15,1,4
GranadaCF_5415,27,1,2,0,7,1,0,6,1,10
Atl._5415,67,2,4,3,6,3,0,13,1,5
Barcelona_5415,65,6,2,0,18,3,2,16,1,6
RealSociedad_5415,49,0,1,0,15,1,3,7,1,9
AthBilbao_5416,50,2,4,1,10,0,0,8,1,12
Villarreal_5416,65,2,1,3,9,5,3,14,1,6
